Filter,Memory (bytes),Insert Throughput (ops/s),Query Throughput (ops/s),FPR,FNR,m/n ratio
Classic,26853,1797623.6,1998239.16,0.927,0.0,1
Counting,1713432,920595.52,961334.86,0.927,0.0,1
Scalable,401907,77016.77,498639.24,0.026,0.0,1
Time-Decaying,1713432,80141.84,996035.15,0.927,0.0,1
Compressed,5375,1339596.15,997574.98,0.927,0.0,1
Classic,80398,1673354.2,999119.58,0.289,0.0,3
Counting,5140296,903331.78,997456.36,0.289,0.0,3
Scalable,562462,69157.27,656231.56,0.015,0.0,3
Time-Decaying,5140296,23338.27,999119.58,0.289,0.0,3
Compressed,68649,1221997.4,995089.92,0.289,0.0,3
Classic,133942,1651770.38,995089.92,0.087,0.0,5
Counting,8567160,921533.28,997693.63,0.087,0.0,5
Scalable,401746,54083.05,666238.42,0.01,0.0,5
Time-Decaying,8567160,14425.83,997812.3,0.087,0.0,5
Compressed,133720,1352903.28,995207.97,0.087,0.0,5
Classic,267804,1669153.68,1997763.28,0.017,0.0,10
Counting,17134320,844154.82,995089.92,0.017,0.0,10
Scalable,803332,40685.33,664760.12,0.013,0.0,10
Time-Decaying,17134320,8480.97,1998239.16,0.017,0.0,10
Compressed,248308,1322458.98,995207.97,0.017,0.0,10
